"filename", "language", "JavaScript", "Markdown", "PHP", "PostCSS", "Vue", "YAML", "JSON", "XML", "JSON with Comments", "comment", "blank", "total"
"c:\xampp\htdocs\laravel\EMS\app\Policies\InventoryPlanPolicy.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 0, 0, 28, 10, 67
"c:\xampp\htdocs\laravel\EMS\app\Policies\ItemPolicy.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 0, 0, 28, 10, 67
"c:\xampp\htdocs\laravel\EMS\app\Policies\WishPolicy.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 0, 0, 28, 10, 67
"c:\xampp\htdocs\laravel\EMS\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 7, 6, 28
"c:\xampp\htdocs\laravel\EMS\app\Providers\AuthServiceProvider.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 9, 8, 39
"c:\xampp\htdocs\laravel\EMS\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 5, 20
"c:\xampp\htdocs\laravel\EMS\app\Providers\EventServiceProvider.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 15, 6, 45
"c:\xampp\htdocs\laravel\EMS\app\Providers\RouteServiceProvider.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 0, 13, 8, 49
"c:\xampp\htdocs\laravel\EMS\app\Services\AnalysisService.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 5, 11
"c:\xampp\htdocs\laravel\EMS\app\Services\ImageService.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 15, 11, 50
"c:\xampp\htdocs\laravel\EMS\bootstrap\app.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 30, 9, 56
"c:\xampp\htdocs\laravel\EMS\composer.json", "JSON", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 1, 80
"c:\xampp\htdocs\laravel\EMS\composer.lock", "JSON", 0, 0, 0, 0, 0, 0, 9677, 0, 0, 0, 1, 9678
"c:\xampp\htdocs\laravel\EMS\config\app.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 0, 0, 136, 33, 221
"c:\xampp\htdocs\laravel\EMS\config\auth.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 0, 74, 14, 116
"c:\xampp\htdocs\laravel\EMS\config\broadcasting.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 0, 0, 23, 13, 71
"c:\xampp\htdocs\laravel\EMS\config\cache.php", "PHP", 0, 0, 58, 0, 0, 0, 0, 0, 0, 34, 19, 111
"c:\xampp\htdocs\laravel\EMS\config\cors.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 0, 0, 12, 12, 35
"c:\xampp\htdocs\laravel\EMS\config\database.php", "PHP", 0, 0, 83, 0, 0, 0, 0, 0, 0, 47, 22, 152
"c:\xampp\htdocs\laravel\EMS\config\filesystems.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 0, 32, 13, 77
"c:\xampp\htdocs\laravel\EMS\config\hashing.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 32, 9, 53
"c:\xampp\htdocs\laravel\EMS\config\logging.php", "PHP", 0, 0, 70, 0, 0, 0, 0, 0, 0, 34, 19, 123
"c:\xampp\htdocs\laravel\EMS\config\mail.php", "PHP", 0, 0, 53, 0, 0, 0, 0, 0, 0, 53, 19, 125
"c:\xampp\htdocs\laravel\EMS\config\queue.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 0, 0, 32, 15, 94
"c:\xampp\htdocs\laravel\EMS\config\sanctum.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 41, 12, 68
"c:\xampp\htdocs\laravel\EMS\config\services.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 11, 7, 35
"c:\xampp\htdocs\laravel\EMS\config\session.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 0, 147, 33, 202
"c:\xampp\htdocs\laravel\EMS\config\view.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 20, 7, 37
"c:\xampp\htdocs\laravel\EMS\database\factories\EdithistoryFactory.php", "PHP", 0, 0, 77, 0, 0, 0, 0, 0, 0, 10, 12, 99
"c:\xampp\htdocs\laravel\EMS\database\factories\InventoryPlanFactory.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 8, 4, 28
"c:\xampp\htdocs\laravel\EMS\database\factories\ItemFactory.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 0, 8, 5, 50
"c:\xampp\htdocs\laravel\EMS\database\factories\UserFactory.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 13, 5, 41
"c:\xampp\htdocs\laravel\EMS\database\factories\WishFactory.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 8, 5, 37
"c:\xampp\htdocs\laravel\EMS\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 4, 34
"c:\xampp\htdocs\laravel\EMS\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 4, 29
"c:\xampp\htdocs\laravel\EMS\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 6, 4, 33
"c:\xampp\htdocs\laravel\EMS\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 4, 34
